TimeStamp;2025-07-07 12-02-39;2025-07-07 12-02-57;2025-07-07 12-03-15;2025-07-07 12-03-33;2025-07-07 12-03-52;2025-07-07 12-04-10;2025-07-07 12-04-28;2025-07-07 12-04-46;2025-07-07 12-05-05;2025-07-07 12-05-23;2025-07-07 12-05-41;2025-07-07 12-05-59;2025-07-07 12-06-18;2025-07-07 12-06-36;2025-07-07 12-06-54;2025-07-07 12-07-12;2025-07-07 12-07-31;2025-07-07 12-07-49;2025-07-07 12-08-07;2025-07-07 12-08-25;2025-07-07 12-08-43;2025-07-07 12-09-02;2025-07-07 12-09-20;2025-07-07 12-09-38;2025-07-07 12-09-57;2025-07-07 12-10-15;2025-07-07 12-10-33;2025-07-07 12-10-51;2025-07-07 12-11-10;2025-07-07 12-11-28;2025-07-07 12-11-46;2025-07-07 12-12-04;2025-07-07 12-12-23;2025-07-07 12-12-41;2025-07-07 12-12-59;2025-07-07 12-13-17;2025-07-07 12-13-35;2025-07-07 12-13-53;2025-07-07 12-14-11;2025-07-07 12-14-29;2025-07-07 12-14-48;2025-07-07 12-15-06;2025-07-07 12-15-24;2025-07-07 12-15-42;2025-07-07 12-16-00;2025-07-07 12-16-19;2025-07-07 12-16-37;2025-07-07 12-16-55;2025-07-07 12-17-14;2025-07-07 12-17-32;2025-07-07 12-17-51;2025-07-07 12-18-10;2025-07-07 12-18-28;2025-07-07 12-18-46;2025-07-07 12-19-04;2025-07-07 12-19-22;2025-07-07 12-19-41;2025-07-07 12-19-59;2025-07-07 12-20-17;2025-07-07 12-20-36;2025-07-07 12-20-54;2025-07-07 12-21-12;2025-07-07 12-21-30;2025-07-07 12-21-48
0.010;0.002893;0.003037;0.003010;0.003520;0.003762;0.003511;0.004793;0.004524;0.003153;0.002857;0.003072;0.003001;0.002920;0.002884;0.003072;0.004524;0.003001;0.003216;0.003440;0.003090;0.002929;0.003287;0.003019;0.004524;0.003126;0.003207;0.004855;0.003081;0.003287;0.002974;0.003287;0.004524;0.004488;0.004282;0.002983;0.003055;0.003135;0.002848;0.002992;0.003377;0.002965;0.002956;0.002920;0.003046;0.003243;0.002920;0.003108;0.003162;0.002965;0.002857;0.003090;0.003368;0.002947;0.002750;0.003099;0.003001;0.003162;0.003028;0.003287;0.002920;0.003234;0.002777;0.004721;0.003001
0.020;0.002822;0.003037;0.002920;0.003368;0.003565;0.003359;0.004524;0.004461;0.003055;0.002777;0.002974;0.002911;0.002822;0.002813;0.002974;0.004389;0.002911;0.003108;0.003296;0.003001;0.002822;0.003162;0.002929;0.004452;0.003028;0.003099;0.004560;0.002983;0.003171;0.002884;0.003162;0.004336;0.004255;0.004031;0.002983;0.002956;0.003028;0.002768;0.002902;0.003243;0.002884;0.002875;0.002822;0.002947;0.003126;0.002822;0.003010;0.003055;0.002884;0.002786;0.002992;0.003225;0.002848;0.002669;0.003001;0.002902;0.003055;0.003028;0.003162;0.002822;0.003117;0.002696;0.004515;0.002911
0.030;0.002822;0.002947;0.002822;0.003225;0.003395;0.003225;0.004380;0.004237;0.002956;0.002705;0.002884;0.002813;0.002759;0.002723;0.002875;0.004139;0.002822;0.003108;0.003162;0.002911;0.002759;0.003055;0.002822;0.004210;0.002938;0.003001;0.004470;0.002893;0.003171;0.002884;0.003055;0.004076;0.004004;0.003798;0.002893;0.002875;0.002938;0.002687;0.002813;0.003126;0.002804;0.002795;0.002759;0.002866;0.003019;0.002822;0.002920;0.002956;0.002795;0.002696;0.002902;0.003108;0.002777;0.002598;0.002911;0.002813;0.002956;0.002929;0.003162;0.002759;0.003010;0.002633;0.004282;0.002911
0.040;0.002741;0.002857;0.002750;0.003225;0.003252;0.003099;0.004130;0.003968;0.002866;0.002607;0.002777;0.002714;0.002660;0.002723;0.002875;0.003888;0.002822;0.003001;0.003046;0.002822;0.002669;0.002947;0.002822;0.003950;0.002831;0.002911;0.004237;0.002813;0.003055;0.002786;0.002947;0.004076;0.003735;0.003565;0.002795;0.002795;0.002822;0.002687;0.002813;0.003126;0.002804;0.002705;0.002660;0.002768;0.002902;0.002750;0.002822;0.002866;0.002714;0.002607;0.002813;0.003001;0.002696;0.002517;0.002813;0.002705;0.002956;0.002831;0.003055;0.002660;0.002911;0.002544;0.004040;0.002813
0.050;0.002642;0.002741;0.002660;0.003099;0.003099;0.003099;0.003861;0.003968;0.002759;0.002607;0.002660;0.002714;0.002544;0.002633;0.002759;0.003646;0.002714;0.002884;0.002920;0.002723;0.002669;0.002822;0.002741;0.003673;0.002741;0.002795;0.003986;0.002723;0.002956;0.002678;0.002822;0.003816;0.003502;0.003368;0.002678;0.002696;0.002732;0.002607;0.002714;0.003010;0.002714;0.002616;0.002544;0.002660;0.002795;0.002660;0.002723;0.002759;0.002624;0.002607;0.002813;0.002884;0.002598;0.002275;0.002813;0.002705;0.002822;0.002750;0.002938;0.002553;0.002804;0.002436;0.003771;0.002714
0.060;0.002517;0.002633;0.002544;0.002974;0.002947;0.002974;0.003601;0.003682;0.002651;0.002499;0.002660;0.002616;0.002445;0.002517;0.002651;0.003413;0.002598;0.002759;0.002786;0.002624;0.002571;0.002696;0.002624;0.003673;0.002633;0.002687;0.003717;0.002633;0.002822;0.002553;0.002696;0.003556;0.003502;0.003162;0.002544;0.002598;0.002624;0.002508;0.002607;0.002875;0.002616;0.002508;0.002445;0.002544;0.002660;0.002544;0.002616;0.002651;0.002508;0.002490;0.002714;0.002750;0.002481;0.002275;0.002714;0.002598;0.002714;0.002651;0.002813;0.002445;0.002804;0.002257;0.003511;0.002598
0.070;0.002257;0.002508;0.002365;0.002822;0.002947;0.002840;0.003368;0.003449;0.002526;0.002257;0.002544;0.002490;0.002445;0.002257;0.002517;0.003207;0.002481;0.002633;0.002786;0.002499;0.002463;0.002571;0.002499;0.003431;0.002517;0.002562;0.003467;0.002517;0.002705;0.002445;0.002580;0.003332;0.003278;0.003162;0.002436;0.002481;0.002499;0.002257;0.002490;0.002732;0.002499;0.002257;0.002257;0.002544;0.002660;0.002320;0.002490;0.002535;0.002257;0.002257;0.002598;0.002624;0.002257;0.002257;0.002607;0.002472;0.002589;0.002517;0.002687;0.002257;0.002687;0.002203;0.003287;0.002472
0.080;0.002257;0.002257;0.002257;0.002696;0.002804;0.002705;0.003153;0.003225;0.002257;0.002248;0.002320;0.002257;0.002257;0.002257;0.002257;0.003010;0.002257;0.002517;0.002660;0.002257;0.002257;0.002463;0.002257;0.003225;0.002257;0.002454;0.003243;0.002257;0.002589;0.002257;0.002463;0.003126;0.003072;0.002974;0.002257;0.002257;0.002257;0.002257;0.002257;0.002616;0.002257;0.002257;0.002212;0.002293;0.002544;0.002257;0.002490;0.002275;0.002257;0.002248;0.002463;0.002517;0.002248;0.002177;0.002481;0.002257;0.002472;0.002257;0.002544;0.002221;0.002553;0.002096;0.003090;0.002257
0.090;0.002185;0.002257;0.002257;0.002589;0.002678;0.002589;0.003010;0.003063;0.002257;0.002150;0.002257;0.002257;0.002203;0.002168;0.002257;0.002875;0.002257;0.002383;0.002544;0.002257;0.002212;0.002463;0.002257;0.003055;0.002257;0.002257;0.003072;0.002257;0.002472;0.002239;0.002257;0.002983;0.002911;0.002822;0.002239;0.002239;0.002257;0.002159;0.002257;0.002508;0.002248;0.002168;0.002212;0.002257;0.002436;0.002194;0.002257;0.002257;0.002168;0.002150;0.002257;0.002257;0.002150;0.002060;0.002257;0.002248;0.002257;0.002257;0.002454;0.002221;0.002436;0.002006;0.002956;0.002257
0.100;0.002123;0.002230;0.002212;0.002490;0.002589;0.002490;0.002902;0.002938;0.002239;0.002069;0.002239;0.002194;0.002123;0.002096;0.002239;0.002875;0.002203;0.002257;0.002454;0.002194;0.002132;0.002257;0.002194;0.002929;0.002203;0.002257;0.002938;0.002177;0.002257;0.002177;0.002257;0.002866;0.002795;0.002741;0.002177;0.002159;0.002257;0.002069;0.002185;0.002401;0.002159;0.002087;0.002114;0.002221;0.002257;0.002114;0.002257;0.002230;0.002087;0.002069;0.002248;0.002257;0.002078;0.001962;0.002257;0.002185;0.002257;0.002203;0.002257;0.002132;0.002257;0.001926;0.002866;0.002194
