TimeStamp;2025-07-07 12-02-31;2025-07-07 12-02-49;2025-07-07 12-03-07;2025-07-07 12-03-26;2025-07-07 12-03-44;2025-07-07 12-04-02;2025-07-07 12-04-20;2025-07-07 12-04-38;2025-07-07 12-04-57;2025-07-07 12-05-15;2025-07-07 12-05-33;2025-07-07 12-05-52;2025-07-07 12-06-10;2025-07-07 12-06-28;2025-07-07 12-06-46;2025-07-07 12-07-04;2025-07-07 12-07-23;2025-07-07 12-07-41;2025-07-07 12-07-59;2025-07-07 12-08-17;2025-07-07 12-08-36;2025-07-07 12-08-54;2025-07-07 12-09-12;2025-07-07 12-09-30;2025-07-07 12-09-49;2025-07-07 12-10-07;2025-07-07 12-10-25;2025-07-07 12-10-44;2025-07-07 12-11-02;2025-07-07 12-11-20;2025-07-07 12-11-38;2025-07-07 12-11-56;2025-07-07 12-12-15;2025-07-07 12-12-33;2025-07-07 12-12-51;2025-07-07 12-13-09;2025-07-07 12-13-27;2025-07-07 12-13-46;2025-07-07 12-14-04;2025-07-07 12-14-21;2025-07-07 12-14-40;2025-07-07 12-14-58;2025-07-07 12-15-16;2025-07-07 12-15-34;2025-07-07 12-15-53;2025-07-07 12-16-11;2025-07-07 12-16-29;2025-07-07 12-16-47;2025-07-07 12-17-06;2025-07-07 12-17-24;2025-07-07 12-17-43;2025-07-07 12-18-02;2025-07-07 12-18-20;2025-07-07 12-18-38;2025-07-07 12-18-56;2025-07-07 12-19-15;2025-07-07 12-19-33;2025-07-07 12-19-51;2025-07-07 12-20-10;2025-07-07 12-20-28;2025-07-07 12-20-46;2025-07-07 12-21-04;2025-07-07 12-21-22;2025-07-07 12-21-41
0.010;2.030100;1.884100;2.038000;1.902500;1.992600;2.035100;1.915800;1.907900;2.036000;2.049700;1.880000;1.905800;1.860400;2.049800;2.056000;1.963400;2.047700;2.043100;2.030500;2.026400;1.897100;2.032200;1.929200;1.960900;1.924600;2.001800;1.996800;2.033100;2.031400;2.029700;2.001300;2.084800;2.058100;1.915400;2.010500;1.868700;2.036800;2.023900;1.871200;1.993400;2.028900;2.012600;1.999200;2.029700;2.010500;1.902100;2.015100;2.044700;1.850800;1.905800;2.023900;1.963400;2.026800;2.023900;2.008000;1.901200;2.076400;2.064800;1.913800;1.984200;2.018000;2.012200;1.911700;2.046000
0.020;2.027600;1.925400;1.885000;1.942100;1.860400;1.878300;1.950900;1.939600;2.036000;2.042200;1.923300;1.901200;1.917100;2.049800;2.052700;1.963400;2.011800;1.883300;1.888700;1.854100;1.897100;1.902100;1.929200;1.960900;1.907100;1.860400;1.904200;1.864100;2.031400;2.029700;1.932100;2.011800;2.015500;1.891600;1.946300;1.902900;1.897500;1.993400;1.871200;1.993400;1.871200;1.906200;1.852500;2.029700;1.854900;1.892000;1.862900;1.930900;1.850800;1.879100;2.023900;1.867000;1.914600;1.883700;1.865800;1.879100;1.916300;1.947100;1.901200;1.984200;2.007200;1.857500;1.958800;1.915000
0.030;1.914600;1.810700;1.885000;1.830700;1.860400;1.924600;1.950900;1.939600;1.874100;1.896600;1.804000;1.802000;1.917100;1.970500;1.897100;1.906700;1.888300;1.883300;1.888700;1.854100;1.783600;1.895800;1.910800;1.901700;1.807800;1.897900;1.904200;1.864100;1.881200;1.910400;1.932100;1.929600;1.882000;1.795700;1.852900;1.902900;1.897500;1.849900;1.676800;1.901600;1.871200;1.906200;1.915800;1.955000;1.854900;1.800700;1.910800;1.930900;1.900000;1.803600;1.932100;1.892500;1.887500;1.938400;1.905800;1.802800;1.916300;1.947100;1.798600;1.887900;1.868300;1.910000;1.820700;1.966300
0.040;1.892900;1.810700;1.812400;1.714400;1.914200;1.807800;1.829500;1.821200;1.874100;1.929200;1.697700;1.802000;1.809500;1.885400;1.950900;1.906700;1.920900;1.807800;1.920400;1.899600;1.783600;1.790300;1.818200;1.901700;1.694800;1.656400;1.648500;1.917900;1.881200;1.910400;1.847000;1.929600;1.927500;1.691000;1.852900;1.785300;1.888300;1.915800;1.676800;1.901600;1.917500;1.671000;1.915800;1.867900;1.910400;1.685600;1.655100;1.914600;1.659300;1.680200;1.932100;1.683500;1.811600;1.840800;1.791500;1.667700;1.961300;1.834900;1.697300;1.929600;1.868300;1.674700;1.735200;1.710600
0.050;1.805300;1.683100;1.812400;1.860000;1.808200;1.807800;1.829500;1.715600;1.911200;1.824900;1.697700;1.834900;1.678500;1.912900;1.950900;1.685200;1.822000;1.807800;1.809000;1.648500;1.678500;1.790300;1.686800;1.678500;1.835300;1.772300;1.790300;1.798700;1.810700;1.799000;1.876600;1.722700;1.927500;1.818700;1.887500;1.785300;1.801100;1.915800;1.791100;1.650500;1.784000;1.786100;1.646400;1.907900;1.812400;1.830800;1.805300;1.924600;1.758600;1.680200;1.787000;1.683500;1.676800;1.840800;1.791500;1.828300;1.835300;1.716000;1.812000;1.686900;1.792800;1.674700;1.735200;1.710600
0.060;1.685600;1.830300;1.705600;1.887100;1.686000;1.839900;1.866600;1.846200;1.667600;1.707300;1.829500;1.834900;1.834900;1.675200;1.719800;1.797000;1.701400;1.686400;1.706000;1.781600;1.800700;1.678100;1.837800;1.772800;1.885000;1.826200;1.825700;1.690200;1.683100;1.673900;1.655100;1.722700;1.809900;1.881200;1.656400;1.834900;1.661800;1.791500;1.791100;1.782800;1.683100;1.842400;1.792400;1.673100;1.683500;1.830800;1.854900;1.691400;1.843200;1.881600;1.696000;1.851200;1.815700;1.713500;1.824900;1.868700;1.751500;1.876600;1.812000;1.686900;1.792800;1.786100;1.891200;1.866200
0.070;1.685600;1.864100;1.837000;1.887100;1.832400;1.839900;1.931700;1.894100;1.787800;1.707300;1.868700;1.862500;1.849500;1.808700;1.719800;1.833700;1.701400;1.839900;1.839100;1.781600;1.857900;1.823700;1.872000;1.818700;1.885000;1.826200;1.825700;1.844100;1.814500;1.819500;1.769400;1.847400;1.809900;1.881200;1.767400;1.892500;1.822800;1.671400;1.897000;1.830300;1.683100;1.842400;1.826600;1.800700;1.683500;1.872000;1.854900;1.691400;1.867500;1.881600;1.838300;1.851200;1.815700;1.855400;1.824900;1.868700;1.751500;1.876600;1.881200;1.848300;1.683900;1.844500;1.891200;1.866200
0.080;1.821200;1.867900;1.873300;1.908700;1.832400;1.864500;1.916700;1.894100;1.787800;1.856600;1.872900;1.869100;1.861200;1.808700;1.856600;1.833700;1.852000;1.872900;1.875400;1.887900;1.857900;1.847400;1.872000;1.818700;1.887500;1.868300;1.867900;1.854500;1.814500;1.819500;1.819100;1.882500;1.830800;1.869100;1.820800;1.850800;1.844100;1.820300;1.897000;1.830300;1.844100;1.875000;1.876600;1.800700;1.852000;1.873700;1.907100;1.842800;1.867500;1.849500;1.838300;1.893700;1.875400;1.890000;1.862000;1.859100;1.882500;1.877900;1.865000;1.848300;1.826600;1.885400;1.921300;1.930000
0.090;1.873300;1.886600;1.873300;1.905800;1.857900;1.865000;1.916700;1.894600;1.884600;1.890400;1.874100;1.872900;1.861200;1.831600;1.890000;1.861200;1.876200;1.872900;1.875400;1.887900;1.862000;1.849900;1.890400;1.860800;1.885400;1.854100;1.867900;1.854500;1.864100;1.853300;1.819100;1.945900;1.910400;1.880400;1.865800;1.850800;1.844100;1.827400;1.862000;1.871600;1.844100;1.875000;1.864100;1.829100;1.852000;1.877000;1.893700;1.842800;1.858700;1.877000;1.896200;1.866200;1.848700;1.887500;1.867000;1.880800;1.905400;1.920800;1.880800;1.889100;1.860400;1.879100;1.910000;1.921700
0.100;1.865800;1.886600;1.875000;1.875800;1.858700;1.868700;1.904200;1.897100;1.884600;1.887900;1.848300;1.872900;1.864100;1.885400;1.903300;1.861200;1.879100;1.887900;1.871200;1.869900;1.862000;1.853700;1.890400;1.860800;1.861200;1.849100;1.853700;1.868300;1.864100;1.853300;1.876200;1.945900;1.879900;1.865000;1.865800;1.842000;1.864500;1.861200;1.882000;1.867400;1.887100;1.891600;1.864100;1.888300;1.871600;1.848300;1.880400;1.894200;1.850400;1.837900;1.896200;1.873300;1.892100;1.896600;1.877000;1.827000;1.917900;1.908300;1.859100;1.887100;1.860400;1.876600;1.902100;1.905000
